occurrence_id,latitude,longitude,state,label,b2_blue,b3_green,b4_red,b8_nir,b11_swir1,b12_swir2,ferrous_iron_index,swir_alteration_index,clay_carbonate_index,ndvi,elevation_m,slope_deg,aspect_deg,aspect_sin,aspect_cos,tri_roughness,dist_to_fault_km,dist_to_lineament_km,lithology
MN_OCC_0115,21.98279,80.13367,Madhya Pradesh / Maharashtra,1,0.0669,0.1066,0.2068,0.2048,0.3647,0.259,3.0912,1.4082,1.7806,-0.0049,457.31,13.25,178.98,0.0178,-0.9998,21.12,3.08,3.66,Precambrian Granitic Gneiss
MN_OCC_0116,21.71615,80.08367,Madhya Pradesh / Maharashtra,1,0.0412,0.1359,0.189,0.2747,0.2788,0.2357,4.5844,1.1832,1.015,0.185,576.01,6.77,38.37,0.6208,0.784,26.24,4.88,1.51,Dharwar Schist
MN_OCC_0117,21.34951,79.26036,Madhya Pradesh / Maharashtra,1,0.0751,0.1042,0.1527,0.2735,0.3854,0.2491,2.0322,1.5472,1.4094,0.2834,349.71,11.01,294.42,-0.9105,0.4134,29.21,0.41,1.42,Gondwana Supergroup Metasediment
MN_OCC_0118,21.91613,80.417,Madhya Pradesh / Maharashtra,1,0.053,0.102,0.1596,0.2774,0.3099,0.2083,3.0125,1.4877,1.1174,0.2695,303.32,5.88,81.82,0.9898,0.1423,19.56,3.53,1.74,Precambrian Granitic Gneiss
MN_OCC_0119,21.63281,85.66686,Odisha,1,0.0552,0.1318,0.1719,0.2471,0.2446,0.1944,3.1147,1.2585,0.99,0.1794,295.99,5.55,208.86,-0.4827,-0.8758,5.04,2.44,1.69,Dharwar Schist
MN_OCC_0122,21.94946,80.25034,Madhya Pradesh / Maharashtra,1,0.0725,0.1231,0.2156,0.1826,0.2752,0.151,2.9723,1.823,1.5077,-0.0829,471.07,13.91,87.65,0.9992,0.0409,16.69,0.34,1.2,Gondwana Supergroup Metasediment
MN_OCC_0124,21.85503,79.94202,Madhya Pradesh / Maharashtra,1,0.0514,0.0984,0.2003,0.2555,0.296,0.2293,3.8972,1.2908,1.1587,0.1211,446.37,7.55,148.88,0.5169,-0.8561,25.73,0.42,0.36,Dharwar Schist
MN_OCC_0125,15.21009,74.50047,Karnataka,1,0.0473,0.1115,0.1909,0.195,0.3421,0.1834,4.0396,1.8659,1.7548,0.0105,377.64,15.26,290.16,-0.9387,0.3446,13.57,3.21,5.44,Dharwar Schist
MN_OCC_0126,21.96613,80.48366,Madhya Pradesh / Maharashtra,1,0.0728,0.1331,0.1428,0.2097,0.35,0.2034,1.9625,1.7203,1.669,0.1897,387.64,6.28,280.99,-0.9817,0.1906,12.66,1.03,3.11,Precambrian Granitic Gneiss
MN_OCC_0127,34.36521,73.50058,Other State,1,0.0667,0.0857,0.1824,0.2432,0.3456,0.1718,2.7343,2.0111,1.4207,0.143,456.05,14.57,78.03,0.9782,0.2075,28.0,2.53,0.48,Precambrian Granitic Gneiss
MN_OCC_0128,21.63278,85.66689,Odisha,1,0.0638,0.1098,0.2188,0.1991,0.3651,0.2026,3.4302,1.8025,1.8339,-0.0471,574.81,20.89,249.28,-0.9353,-0.3539,13.77,15.17,0.25,Gondwana Supergroup Metasediment
MN_OCC_0129,18.36648,83.45025,Odisha,1,0.069,0.1147,0.1474,0.1911,0.2554,0.2662,2.1373,0.9593,1.3364,0.1291,310.2,7.43,81.6,0.9893,0.1461,13.51,2.34,0.13,Lateritic Duricrust
MN_OCC_0130,21.99947,80.35034,Madhya Pradesh / Maharashtra,1,0.0493,0.1124,0.208,0.2711,0.3359,0.1922,4.215,1.7482,1.239,0.1317,356.3,18.64,357.89,-0.0368,0.9993,8.52,3.47,1.47,Dharwar Schist
MN_OCC_0131,21.86614,80.26701,Madhya Pradesh / Maharashtra,1,0.0586,0.0836,0.1762,0.3141,0.2716,0.2397,3.0069,1.1329,0.8646,0.2811,400.32,5.43,34.8,0.5708,0.8211,30.87,1.37,1.97,Dharwar Schist
MN_OCC_0132,22.94939,74.51716,Other State,1,0.0771,0.0941,0.1599,0.2013,0.4186,0.2705,2.0747,1.5476,2.0793,0.1146,343.19,18.57,187.54,-0.1313,-0.9913,19.33,3.13,0.17,Dharwar Schist
MN_OCC_0133,21.74948,80.16701,Madhya Pradesh / Maharashtra,1,0.0451,0.1296,0.1982,0.2792,0.2465,0.1894,4.3938,1.3015,0.8828,0.1697,285.68,5.84,31.55,0.5233,0.8522,18.9,1.17,0.91,Precambrian Granitic Gneiss
MN_OCC_0134,15.0501,74.58487,Karnataka,1,0.064,0.1109,0.2119,0.2496,0.4186,0.2607,3.3103,1.6057,1.6772,0.0815,464.97,12.91,137.02,0.6817,-0.7316,17.41,6.73,3.65,Lateritic Duricrust
MN_OCC_0135,22.39944,73.65051,Other State,1,0.0716,0.0983,0.1281,0.2364,0.2712,0.2403,1.7889,1.1285,1.1473,0.2972,383.38,12.45,230.75,-0.7744,-0.6327,16.4,6.34,4.61,Precambrian Granitic Gneiss
MN_OCC_0136,21.98279,80.43366,Madhya Pradesh / Maharashtra,1,0.0643,0.1259,0.1375,0.2504,0.3118,0.169,2.1398,1.8444,1.2452,0.291,403.71,9.45,9.29,0.1615,0.9869,16.7,0.46,5.94,Precambrian Granitic Gneiss
MN_OCC_0137,15.13343,74.16715,Other State,1,0.0786,0.1059,0.1512,0.2509,0.3191,0.1637,1.9226,1.9489,1.2721,0.2479,234.84,15.5,223.05,-0.6827,-0.7307,10.47,0.2,2.73,Precambrian Granitic Gneiss
MN_OCC_0138,21.32952,79.41036,Madhya Pradesh / Maharashtra,1,0.0423,0.1397,0.1258,0.2773,0.4171,0.1811,2.9715,2.303,1.504,0.3759,430.06,9.43,249.18,-0.9347,-0.3555,15.78,0.21,1.28,Sausar Group Metamorphic
